age;job;marital;education;balance;housing;loan;month;duration;campaign;pdays
43;management;married;tertiary;1429;yes;no;nov;1015;1;198
39;technician;married;tertiary;794;no;no;feb;182;1;-1
31;entrepreneur;single;tertiary;1957;no;no;feb;112;3;-1
48;technician;married;secondary;454;yes;no;jul;114;1;-1
32;blue-collar;single;primary;882;no;yes;jul;80;8;-1
47;unemployed;married;primary;168;yes;no;jan;66;1;241
35;management;single;tertiary;714;yes;no;aug;135;22;-1
42;management;single;tertiary;0;no;no;sep;99;1;-1
47;blue-collar;married;secondary;1996;no;no;jun;761;2;-1
59;retired;married;secondary;163;no;no;jul;464;1;-1
38;admin.;married;secondary;3190;yes;no;jun;20;2;-1
50;unemployed;married;secondary;1772;no;no;jul;206;4;-1
27;services;single;secondary;-151;no;no;jul;283;2;-1
55;housemaid;married;primary;16;no;no;jun;64;1;-1
39;services;single;secondary;7066;yes;no;may;667;3;357
31;technician;single;tertiary;454;no;no;feb;73;3;-1
37;entrepreneur;married;tertiary;4798;yes;no;may;156;2;-1
28;technician;single;secondary;-298;yes;no;jun;559;7;-1
42;technician;married;secondary;439;no;no;aug;143;2;-1
40;services;divorced;secondary;1927;yes;no;may;62;1;-1
59;management;single;secondary;671;yes;yes;jan;219;2;259
40;services;single;secondary;65;yes;no;may;15;3;-1
43;technician;married;secondary;-932;yes;no;apr;567;1;-1
38;technician;single;secondary;4366;yes;no;jul;188;2;-1
54;retired;married;primary;0;yes;no;jul;159;2;-1
41;blue-collar;married;secondary;4900;yes;no;jul;121;2;-1
55;housemaid;divorced;primary;976;no;no;jun;345;1;94
33;management;married;tertiary;148;no;no;may;717;1;-1
46;blue-collar;married;secondary;5;no;no;aug;71;3;-1
36;management;married;secondary;-148;no;no;nov;144;2;-1
48;technician;divorced;tertiary;113;no;yes;jul;38;1;-1
42;management;married;secondary;-105;yes;no;aug;60;2;-1
46;management;divorced;tertiary;624;no;no;sep;336;2;183
49;technician;married;secondary;-1680;yes;yes;jun;92;4;-1
36;blue-collar;married;secondary;-461;no;no;may;254;2;353
34;technician;single;tertiary;144;yes;yes;oct;104;1;85
51;entrepreneur;divorced;tertiary;4;yes;yes;apr;74;5;-1
58;blue-collar;married;primary;309;no;no;aug;156;2;-1
48;management;married;tertiary;866;no;no;jan;146;2;-1
41;admin.;single;secondary;1020;yes;no;may;882;1;-1
49;self-employed;married;primary;489;yes;no;may;84;4;-1
43;management;married;primary;8167;yes;no;may;114;2;-1
32;blue-collar;single;secondary;-255;no;yes;jul;957;3;-1
54;retired;married;secondary;3671;no;no;jun;67;3;-1
33;blue-collar;divorced;primary;636;yes;no;jul;211;11;-1
35;technician;married;secondary;141;yes;no;aug;299;2;-1
56;technician;married;secondary;150;yes;yes;may;102;6;349
57;technician;married;secondary;839;no;yes;may;225;1;-1
31;housemaid;single;primary;26965;no;no;apr;654;2;-1
33;technician;single;secondary;716;yes;no;may;234;2;-1
29;technician;single;tertiary;2485;no;no;jul;48;6;-1
38;management;single;tertiary;15030;yes;no;may;167;1;174
37;admin.;married;secondary;11303;no;no;may;500;2;-1
33;entrepreneur;married;tertiary;595;no;no;aug;22;2;-1
30;management;single;tertiary;19358;no;no;nov;258;2;-1
31;self-employed;single;secondary;203;no;yes;nov;177;1;-1
28;technician;single;tertiary;183;yes;yes;may;62;2;-1
26;admin.;single;secondary;255;no;no;apr;457;1;80
31;technician;single;secondary;102;yes;no;apr;460;2;345
50;housemaid;divorced;primary;94;yes;no;jul;184;4;-1
45;entrepreneur;married;primary;58;yes;no;may;119;3;371
48;management;married;primary;606;no;no;mar;77;6;-1
41;technician;married;secondary;0;no;yes;jul;107;1;-1
60;technician;married;primary;65;yes;no;may;1028;2;-1
41;blue-collar;married;secondary;338;yes;no;may;87;1;-1
43;blue-collar;married;primary;757;yes;no;may;315;4;-1
36;management;married;tertiary;9269;yes;yes;nov;107;2;-1
40;blue-collar;married;primary;1206;no;yes;jul;201;5;-1
28;management;single;tertiary;882;no;yes;jan;94;1;205
27;student;single;tertiary;5291;no;no;nov;192;2;92
49;management;single;secondary;61;yes;no;jan;185;2;246
37;technician;married;tertiary;0;yes;no;nov;77;1;-1
31;blue-collar;married;secondary;1407;yes;no;may;142;3;-1
31;technician;single;secondary;25;no;no;feb;381;1;-1
31;blue-collar;married;secondary;1354;yes;yes;nov;222;2;-1
35;blue-collar;married;primary;793;yes;no;apr;106;1;-1
51;blue-collar;divorced;unknown;10287;yes;no;may;117;1;-1
33;technician;single;secondary;5235;no;no;aug;67;3;-1
30;technician;single;tertiary;3;yes;no;may;45;2;169
58;technician;single;secondary;409;no;yes;jul;643;2;-1
34;admin.;married;tertiary;35;yes;no;oct;76;1;69
45;management;married;tertiary;-459;no;no;aug;508;6;-1
28;services;single;secondary;198;no;no;jul;128;2;-1
31;blue-collar;married;primary;99;yes;no;apr;193;2;322
40;management;married;tertiary;60;no;no;jun;172;6;-1
30;services;single;secondary;3485;no;no;feb;142;2;-1
34;entrepreneur;married;secondary;-139;yes;yes;may;492;2;-1
40;blue-collar;married;secondary;952;no;yes;jun;140;1;-1
59;retired;married;primary;1427;no;no;jun;140;2;-1
43;technician;single;tertiary;1017;yes;no;may;257;2;-1
41;management;married;tertiary;-29;no;no;jan;41;2;266
33;technician;divorced;secondary;9;no;no;aug;91;2;-1
33;management;married;secondary;4040;yes;no;apr;132;2;-1
36;blue-collar;married;secondary;13;no;no;jun;284;1;-1
32;self-employed;single;secondary;1259;no;no;jul;184;2;-1
25;admin.;married;secondary;18;yes;no;jul;225;1;-1
25;blue-collar;married;secondary;-76;yes;no;may;241;3;-1
38;technician;single;tertiary;221;no;no;aug;79;3;-1
34;management;married;tertiary;136;yes;no;apr;156;1;-1
67;blue-collar;married;secondary;16353;no;no;oct;223;2;-1
32;blue-collar;married;secondary;-63;yes;no;may;198;1;-1
45;housemaid;married;primary;7353;no;no;aug;536;2;-1
33;blue-collar;married;primary;511;yes;no;may;304;2;-1
38;admin.;married;primary;3913;yes;no;apr;196;2;315
32;technician;divorced;secondary;1097;yes;no;may;298;2;-1
54;retired;divorced;tertiary;6102;yes;yes;may;86;6;-1
51;admin.;divorced;secondary;340;yes;no;may;186;1;-1
42;blue-collar;married;primary;-119;yes;no;jul;167;3;-1
41;admin.;married;secondary;2993;yes;no;jul;24;12;-1
39;management;divorced;tertiary;3575;no;yes;aug;74;3;-1
38;blue-collar;married;secondary;361;yes;no;jun;601;1;-1
39;management;married;secondary;1072;yes;no;may;1168;2;-1
46;blue-collar;married;primary;2904;no;no;apr;277;2;-1
50;entrepreneur;divorced;tertiary;1790;no;yes;feb;748;3;-1
33;blue-collar;married;secondary;86;yes;no;may;364;1;-1
37;technician;married;secondary;1633;yes;no;may;229;3;-1
31;management;married;tertiary;8312;no;no;aug;43;13;-1
34;blue-collar;divorced;unknown;172;no;no;jun;177;1;-1
34;management;married;tertiary;0;yes;no;aug;262;1;99
36;management;married;tertiary;222;yes;no;may;317;1;169
40;technician;married;secondary;109;no;no;jun;402;22;-1
40;blue-collar;married;secondary;1451;no;no;jun;314;1;-1
41;technician;married;secondary;1066;no;no;feb;109;3;-1
52;management;married;tertiary;3163;no;no;aug;56;6;-1
40;services;single;secondary;888;yes;no;may;169;2;-1
48;blue-collar;single;unknown;428;yes;no;may;127;1;-1
33;management;divorced;secondary;106;no;no;aug;175;3;-1
44;technician;divorced;secondary;0;no;no;aug;56;2;-1
55;management;married;tertiary;979;no;yes;jul;123;1;-1
51;admin.;married;secondary;2662;no;no;jan;148;2;-1
34;management;single;tertiary;84;no;no;feb;231;1;-1
58;retired;divorced;unknown;5920;yes;no;jul;255;1;-1
39;management;single;tertiary;816;yes;no;aug;37;3;-1
27;unemployed;single;secondary;3276;no;no;aug;106;1;110
55;management;divorced;unknown;2;yes;no;may;95;1;-1
35;technician;single;secondary;-51;no;no;jul;134;2;-1
37;technician;single;tertiary;3315;yes;no;apr;820;2;-1
52;technician;married;secondary;196;yes;yes;feb;116;1;273
41;blue-collar;married;secondary;552;yes;no;may;463;1;-1
52;admin.;married;secondary;2347;no;yes;aug;603;3;-1
34;blue-collar;single;secondary;3723;yes;no;may;47;5;-1
53;management;divorced;primary;255;no;no;nov;126;1;-1
33;management;single;tertiary;3143;no;no;jun;421;2;-1
47;self-employed;married;secondary;0;no;no;jun;174;8;-1
35;blue-collar;married;secondary;6411;yes;yes;jan;144;1;266
33;management;single;tertiary;1909;no;no;aug;191;2;-1
55;blue-collar;married;primary;3873;no;no;apr;222;1;-1
58;self-employed;married;primary;1013;yes;no;aug;206;1;461
44;admin.;married;secondary;262;yes;no;jul;74;1;-1
25;services;single;secondary;3217;yes;no;may;24;1;-1
37;technician;single;secondary;5436;yes;no;may;7;11;351
41;blue-collar;married;primary;2067;yes;no;may;493;7;-1
34;blue-collar;single;secondary;215;no;no;mar;350;3;-1
36;services;divorced;secondary;1594;no;no;jun;250;3;-1
44;self-employed;married;tertiary;134;no;no;aug;86;4;-1
34;entrepreneur;divorced;tertiary;262;no;no;nov;371;1;-1
56;blue-collar;divorced;primary;3021;no;no;jun;419;2;-1
43;management;divorced;tertiary;388;yes;no;may;2087;2;-1
28;blue-collar;single;secondary;3412;yes;no;may;22;4;-1
54;blue-collar;married;secondary;1291;yes;no;may;266;1;-1
37;technician;divorced;secondary;79;no;no;jul;191;1;-1
59;self-employed;married;tertiary;2013;no;no;feb;222;4;94
58;blue-collar;divorced;secondary;543;no;yes;jul;264;3;-1
56;management;divorced;tertiary;1016;yes;no;jun;184;5;-1
32;blue-collar;single;secondary;604;no;yes;may;95;3;-1
42;management;single;tertiary;525;no;no;aug;127;2;-1
52;retired;divorced;primary;353;no;no;jul;395;4;-1
46;management;married;tertiary;964;yes;no;apr;174;1;-1
37;admin.;married;tertiary;3913;yes;no;apr;124;1;-1
39;blue-collar;married;primary;879;yes;no;may;102;2;-1
31;admin.;married;secondary;314;yes;no;apr;279;1;-1
59;housemaid;married;primary;0;no;no;aug;76;11;-1
38;blue-collar;married;secondary;1370;yes;no;may;472;2;-1
58;management;married;secondary;37;no;no;aug;84;11;-1
34;management;single;tertiary;673;yes;yes;nov;271;1;184
40;services;married;secondary;-342;yes;no;may;754;1;-1
20;student;single;secondary;291;no;no;may;172;5;371
34;technician;married;secondary;209;yes;yes;apr;375;2;-1
31;technician;single;tertiary;438;yes;no;aug;130;2;-1
39;admin.;single;secondary;1242;yes;no;may;303;3;-1
34;entrepreneur;married;tertiary;355;yes;no;may;261;1;-1
24;blue-collar;married;secondary;204;yes;yes;apr;229;3;-1
41;management;married;tertiary;10758;yes;no;jun;288;1;-1
40;management;married;tertiary;5;yes;no;nov;219;3;-1
45;technician;single;secondary;410;yes;no;may;891;4;-1
36;management;married;tertiary;605;yes;no;may;204;1;-1
53;management;married;tertiary;4;no;no;jun;19;6;-1
23;student;single;secondary;8494;no;no;aug;158;2;-1
42;entrepreneur;married;primary;198;yes;no;may;314;1;-1
48;blue-collar;married;secondary;841;yes;no;may;215;1;-1
34;management;married;tertiary;8;no;no;aug;169;4;-1
36;admin.;married;secondary;470;yes;no;jul;101;4;-1
43;retired;married;secondary;520;yes;no;may;15;13;-1
36;blue-collar;married;secondary;439;yes;no;may;260;5;-1
49;blue-collar;married;secondary;-454;yes;no;may;558;1;-1
55;retired;married;secondary;466;no;no;jun;287;4;-1
53;retired;married;secondary;665;yes;no;apr;371;2;-1
42;technician;married;secondary;994;yes;no;aug;149;1;78
45;admin.;married;secondary;5346;yes;yes;oct;187;1;-1
31;blue-collar;married;secondary;1243;yes;no;may;32;1;-1
32;admin.;married;tertiary;0;yes;no;may;138;1;-1
36;blue-collar;married;secondary;2357;yes;no;jun;228;2;-1
56;retired;married;secondary;1044;no;no;jul;353;2;-1
46;admin.;married;secondary;1069;yes;no;may;45;2;-1
41;housemaid;single;secondary;231;no;no;jul;76;2;-1
31;admin.;married;secondary;0;yes;yes;may;144;2;-1
32;technician;married;secondary;266;yes;no;aug;168;2;-1
38;management;married;tertiary;-70;yes;no;jan;140;1;2
49;retired;single;primary;25824;no;no;jun;94;1;-1
46;management;single;primary;538;no;no;jun;118;3;-1
29;technician;single;secondary;534;yes;no;may;382;1;-1
36;admin.;married;unknown;2323;no;no;nov;111;1;-1
38;admin.;married;secondary;1852;yes;no;may;298;2;-1
53;technician;married;secondary;2647;yes;no;may;121;1;-1
43;management;married;tertiary;2767;yes;no;may;317;7;-1
41;management;married;tertiary;176;yes;yes;may;42;1;-1
42;management;single;secondary;9720;no;no;aug;81;2;-1
55;blue-collar;divorced;secondary;1613;yes;no;apr;296;1;270
39;admin.;divorced;secondary;2903;yes;yes;jul;259;2;-1
30;admin.;single;secondary;81;yes;no;aug;121;6;112
41;blue-collar;married;secondary;780;yes;no;may;432;3;-1
44;unemployed;married;tertiary;178;no;no;aug;126;2;-1
58;management;married;tertiary;299;no;no;jul;120;4;-1
35;retired;married;primary;285;yes;no;jan;136;1;-1
27;blue-collar;married;secondary;872;yes;no;apr;1130;3;-1
34;services;married;secondary;1337;no;no;dec;330;2;127
25;services;married;secondary;72;yes;no;jul;305;2;-1
36;blue-collar;married;secondary;0;no;no;jun;332;3;-1
38;blue-collar;married;secondary;-388;yes;no;may;412;1;-1
30;admin.;married;secondary;11;yes;no;may;157;1;-1
47;blue-collar;divorced;secondary;-535;yes;no;jul;71;2;-1
41;services;divorced;secondary;787;yes;no;may;297;2;-1
36;management;single;tertiary;3343;no;no;nov;307;1;-1
63;entrepreneur;married;secondary;3904;no;no;aug;250;2;187
23;management;single;tertiary;736;yes;no;apr;119;1;-1
32;management;married;tertiary;1390;no;no;aug;116;2;-1
57;retired;married;primary;808;no;no;jul;274;1;-1
48;management;married;tertiary;1147;no;no;aug;389;1;64
49;services;married;secondary;1122;no;no;aug;143;1;-1
50;technician;married;secondary;-568;yes;yes;may;860;2;-1
33;blue-collar;married;primary;1165;yes;no;may;420;2;-1
53;services;divorced;secondary;-905;yes;no;may;213;1;-1
30;unemployed;married;tertiary;0;yes;no;nov;756;1;-1
38;technician;married;secondary;740;no;no;aug;259;3;-1
44;management;married;secondary;8262;yes;no;jul;201;16;-1
39;admin.;single;secondary;14;yes;yes;may;19;9;-1
45;technician;single;unknown;7108;yes;yes;nov;53;1;172
36;blue-collar;married;secondary;1049;yes;no;may;224;4;-1
38;blue-collar;married;secondary;0;yes;no;may;57;5;349
36;housemaid;married;secondary;419;yes;no;may;251;1;-1
30;management;single;tertiary;726;yes;no;apr;39;1;342
28;technician;divorced;tertiary;594;yes;yes;jun;54;3;-1
26;unemployed;married;tertiary;454;yes;yes;may;28;18;-1
54;unknown;married;secondary;2206;no;no;nov;104;1;99
38;admin.;married;tertiary;1988;no;no;mar;164;2;130
32;technician;single;tertiary;0;no;no;aug;268;2;-1
50;admin.;divorced;secondary;202;no;yes;nov;148;1;-1
43;blue-collar;married;secondary;667;yes;no;may;228;3;-1
48;admin.;married;secondary;112;no;no;aug;139;5;-1
57;housemaid;married;primary;50;no;no;aug;89;3;-1
64;housemaid;married;primary;768;no;no;jul;250;2;182
26;services;divorced;secondary;74;yes;no;may;106;6;-1
33;blue-collar;married;secondary;661;yes;no;jul;968;1;-1
50;self-employed;married;secondary;3025;no;yes;aug;168;3;-1
47;self-employed;married;tertiary;751;no;no;jul;408;14;-1
39;management;single;tertiary;416;no;no;oct;56;4;-1
52;services;married;primary;14;no;yes;jul;55;5;-1
31;blue-collar;single;primary;-502;yes;no;may;76;4;-1
50;blue-collar;married;primary;0;no;no;aug;72;5;-1
47;technician;married;secondary;599;yes;no;aug;99;3;-1
30;management;single;tertiary;-218;yes;no;aug;13;15;-1
32;technician;single;tertiary;1012;no;no;apr;178;1;-1
36;technician;married;secondary;300;no;no;jun;287;1;-1
46;technician;married;tertiary;217;yes;no;may;141;1;346
45;management;divorced;tertiary;2096;no;no;nov;127;1;100
37;technician;single;secondary;0;no;no;aug;69;2;-1
58;housemaid;married;primary;5278;yes;no;jun;763;4;-1
59;management;married;tertiary;1831;no;no;feb;122;1;92
28;management;married;tertiary;1480;yes;no;may;143;1;-1
48;management;married;tertiary;7289;yes;no;feb;316;3;-1
55;blue-collar;married;unknown;1665;no;no;jul;89;2;-1
37;blue-collar;single;primary;851;yes;no;may;151;1;352
41;management;married;tertiary;2885;no;no;nov;40;1;-1
35;blue-collar;married;secondary;137;no;yes;oct;5;1;808
34;blue-collar;single;secondary;1239;yes;no;jul;90;1;-1
43;management;single;tertiary;146;no;no;nov;50;1;113
59;technician;married;secondary;1;no;no;apr;159;2;378
50;blue-collar;divorced;primary;-10;no;yes;jul;369;6;-1
37;technician;married;secondary;480;no;no;oct;344;2;182
35;technician;married;secondary;2789;yes;no;sep;256;2;94
50;technician;single;secondary;3897;no;no;oct;298;1;-1
36;technician;divorced;secondary;487;no;yes;aug;268;3;-1
41;admin.;married;secondary;5110;yes;no;apr;231;1;-1
28;management;married;tertiary;318;yes;no;may;4;4;-1
42;technician;single;tertiary;-411;yes;no;may;78;5;292
60;retired;married;secondary;4820;no;no;jun;419;1;-1
28;management;single;tertiary;4937;yes;no;may;421;3;-1
48;entrepreneur;married;secondary;725;no;yes;jul;105;1;-1
51;entrepreneur;married;tertiary;5403;no;no;jun;42;1;-1
32;technician;married;tertiary;4089;no;no;may;114;7;287
35;technician;married;tertiary;188;no;no;aug;286;2;-1
37;technician;married;unknown;189;no;no;oct;238;1;107
38;blue-collar;divorced;secondary;2998;yes;no;jun;91;1;-1
77;retired;married;secondary;610;no;no;aug;766;3;-1
32;management;single;unknown;787;no;no;jan;92;1;-1
43;technician;divorced;secondary;167;no;no;aug;211;3;-1
36;management;single;tertiary;243;yes;no;may;160;2;360
29;management;married;tertiary;877;no;no;feb;166;3;-1
32;admin.;single;secondary;2817;yes;no;nov;195;1;-1
41;management;divorced;tertiary;4567;yes;yes;jul;106;1;-1
26;services;single;secondary;127;yes;yes;jul;85;3;-1
34;blue-collar;married;primary;176;no;no;jul;78;1;-1
57;retired;married;tertiary;0;yes;yes;may;648;1;-1
36;services;single;secondary;1482;yes;no;nov;177;2;174
42;blue-collar;married;secondary;3052;yes;no;may;32;1;-1
35;technician;divorced;secondary;56;no;no;aug;24;12;-1
52;entrepreneur;divorced;primary;278;yes;no;may;688;2;-1
36;management;single;tertiary;3875;yes;no;may;21;5;-1
46;technician;married;secondary;-337;yes;no;may;112;1;-1
60;management;divorced;tertiary;366;no;no;jun;593;1;-1
57;housemaid;married;primary;501;yes;yes;aug;59;2;-1
48;management;married;tertiary;998;yes;no;jan;121;3;-1
59;self-employed;married;primary;0;yes;no;jul;97;2;-1
39;management;married;tertiary;246;no;no;aug;86;2;-1
44;blue-collar;married;secondary;-182;yes;yes;may;10;10;-1
27;management;single;tertiary;446;no;no;jun;205;3;-1
59;retired;married;secondary;1173;no;no;jun;77;2;-1
36;technician;divorced;secondary;5957;yes;no;nov;138;2;-1
44;admin.;married;secondary;205;no;no;nov;289;1;-1
50;admin.;married;secondary;0;no;no;aug;86;4;-1
41;management;divorced;tertiary;369;yes;no;aug;9;3;-1
47;admin.;married;secondary;1934;no;yes;may;225;1;364
32;technician;single;tertiary;259;no;no;jul;407;4;-1
38;blue-collar;married;secondary;284;yes;yes;jun;1030;6;-1
55;blue-collar;married;unknown;23;no;no;aug;123;2;-1
38;management;single;tertiary;1373;no;no;oct;119;4;-1
31;management;single;tertiary;62;yes;no;may;175;1;293
38;blue-collar;divorced;secondary;157;no;no;jun;299;5;-1
29;unemployed;single;tertiary;991;no;no;feb;563;1;-1
55;services;married;secondary;186;yes;yes;may;241;1;-1
35;unemployed;married;secondary;977;yes;no;may;52;4;91
40;self-employed;single;tertiary;2893;no;no;jun;76;3;-1
34;blue-collar;married;secondary;1897;yes;yes;nov;441;1;-1
32;technician;single;tertiary;5514;no;no;apr;319;1;182
33;blue-collar;married;secondary;889;yes;no;sep;13;1;373
33;management;married;tertiary;273;yes;no;may;803;1;-1
37;admin.;married;secondary;1193;no;no;may;396;2;-1
58;management;married;tertiary;2729;no;no;jun;188;1;-1
36;admin.;single;secondary;0;no;no;apr;637;1;-1
42;blue-collar;married;secondary;230;yes;no;jun;175;7;-1
34;technician;single;secondary;2729;yes;no;apr;945;1;139
35;management;married;tertiary;317;yes;no;may;162;3;-1
60;housemaid;married;primary;517;no;no;jun;1178;3;-1
50;management;married;tertiary;-470;yes;no;may;506;2;170
28;self-employed;single;tertiary;4579;no;no;jan;409;2;-1
27;blue-collar;divorced;secondary;1;yes;no;jul;116;3;-1
37;management;married;tertiary;5106;no;no;apr;244;1;-1
31;technician;married;tertiary;636;yes;no;may;352;4;-1
34;services;married;secondary;1076;no;no;may;152;1;182
38;management;married;tertiary;126;yes;no;may;164;2;-1
32;self-employed;married;secondary;-33;yes;no;may;234;3;-1
37;technician;married;secondary;430;no;no;aug;154;4;-1
33;admin.;married;secondary;-6;yes;no;may;566;2;-1
71;technician;married;tertiary;383;no;no;oct;327;2;183
27;technician;married;secondary;130;yes;no;may;265;3;-1
38;blue-collar;married;primary;2569;no;no;jun;172;1;-1
34;technician;single;secondary;201;no;no;jul;257;2;-1
54;retired;divorced;tertiary;0;no;no;may;618;1;-1
30;blue-collar;married;secondary;6;yes;no;jan;241;3;-1
35;entrepreneur;single;secondary;475;no;yes;jul;936;4;-1
33;blue-collar;single;secondary;706;yes;no;apr;329;1;322
36;management;married;secondary;1825;yes;no;may;24;1;346
59;self-employed;married;tertiary;185;no;no;jun;177;5;138
72;blue-collar;married;primary;4415;no;no;oct;120;1;-1
64;management;married;tertiary;679;no;no;apr;135;3;-1
53;technician;divorced;secondary;320;no;no;jul;175;1;-1
35;management;single;tertiary;2988;yes;no;may;179;1;-1
58;self-employed;married;secondary;1407;yes;no;may;58;1;-1
40;technician;married;secondary;1270;no;no;apr;342;2;-1
41;services;divorced;secondary;654;yes;no;may;139;2;-1
48;retired;married;primary;5173;yes;no;jun;88;8;-1
44;entrepreneur;married;tertiary;3463;yes;yes;aug;210;3;-1
39;blue-collar;married;unknown;0;no;no;feb;731;1;193
61;management;married;tertiary;6016;no;no;feb;670;3;-1
36;entrepreneur;married;primary;177;yes;no;may;63;5;-1
28;management;married;tertiary;3694;no;yes;jul;70;2;-1
58;retired;single;secondary;1640;no;yes;feb;72;6;274
60;admin.;divorced;secondary;174;yes;no;may;241;1;364
66;admin.;single;secondary;10177;no;no;may;272;4;-1
36;management;single;tertiary;490;no;no;aug;207;8;98
49;self-employed;married;secondary;2576;yes;no;may;64;6;-1
40;services;married;secondary;0;no;no;jun;543;2;-1
23;technician;single;secondary;598;no;no;apr;166;1;-1
29;management;single;tertiary;15459;no;no;may;245;3;97
44;blue-collar;married;primary;271;yes;yes;may;94;1;-1
54;unknown;married;unknown;2508;no;no;jun;34;8;-1
47;blue-collar;married;primary;320;no;no;jul;203;2;-1
33;admin.;married;tertiary;640;no;no;jul;318;1;-1
30;self-employed;married;secondary;1772;yes;no;apr;158;4;-1
27;admin.;single;secondary;15;no;yes;jul;177;1;-1
49;management;divorced;tertiary;2370;yes;yes;nov;56;1;103
27;services;single;secondary;201;yes;no;jun;172;2;-1
51;blue-collar;married;secondary;160;yes;no;may;136;1;359
32;admin.;divorced;secondary;5;yes;yes;may;82;3;363
30;blue-collar;single;secondary;75;yes;no;may;123;1;-1
33;admin.;married;secondary;4902;yes;no;nov;110;1;-1
27;blue-collar;single;primary;-79;yes;no;may;385;5;-1
75;retired;divorced;secondary;1341;no;no;dec;415;7;-1
37;services;divorced;secondary;490;yes;no;feb;73;1;-1
36;technician;single;secondary;1521;yes;no;jun;243;2;-1
37;blue-collar;married;secondary;131;yes;no;may;137;2;-1
35;management;married;tertiary;8;yes;no;may;55;4;-1
32;services;married;secondary;-632;yes;yes;apr;18;5;-1
32;admin.;single;secondary;116;no;yes;jul;255;2;-1
35;admin.;married;primary;189;yes;no;may;95;1;-1
31;blue-collar;married;primary;2;yes;yes;jul;112;1;-1
28;blue-collar;single;secondary;4229;yes;yes;may;205;2;-1
27;services;married;secondary;54;yes;no;may;97;1;370
22;student;single;unknown;549;no;no;sep;154;1;-1
35;blue-collar;married;primary;298;yes;no;may;135;2;370
69;retired;married;primary;579;no;no;aug;230;1;-1
37;entrepreneur;single;tertiary;1467;yes;yes;nov;349;1;-1
45;admin.;single;secondary;0;yes;no;may;38;1;-1
47;management;married;tertiary;109;yes;no;jul;268;1;-1
52;management;married;tertiary;-11;yes;no;may;94;4;-1
33;services;married;secondary;90;yes;no;jul;263;2;-1
60;blue-collar;married;primary;493;no;no;aug;671;4;-1
33;management;divorced;secondary;1897;yes;yes;jun;197;1;-1
44;admin.;married;secondary;2403;yes;no;jan;180;2;-1
38;entrepreneur;married;secondary;868;no;no;nov;452;2;-1
54;entrepreneur;married;secondary;653;yes;no;may;352;1;-1
32;unemployed;divorced;primary;0;no;no;jul;175;4;-1
33;technician;married;secondary;0;yes;yes;nov;163;2;-1
55;services;divorced;secondary;218;yes;no;may;200;2;-1
51;blue-collar;married;primary;5050;no;yes;jun;75;7;-1
48;blue-collar;married;secondary;741;yes;no;apr;227;1;-1
37;services;single;secondary;1050;yes;no;feb;586;3;-1
33;services;single;secondary;-56;no;yes;jul;119;5;-1
30;blue-collar;married;primary;1;yes;yes;jul;80;2;-1
43;blue-collar;married;primary;-98;yes;yes;may;112;2;330
49;technician;married;secondary;4667;yes;no;may;130;2;-1
54;unemployed;married;primary;541;yes;no;feb;237;3;-1
31;unemployed;married;tertiary;7744;no;no;aug;377;8;-1
54;unknown;married;unknown;895;no;no;oct;335;1;-1
36;unemployed;married;secondary;-129;yes;no;jul;121;3;-1
30;admin.;married;secondary;0;no;no;jul;127;5;-1
27;technician;single;secondary;158;no;no;jul;650;2;-1
30;admin.;married;secondary;122;yes;no;may;107;1;-1
30;blue-collar;married;secondary;673;yes;no;may;610;2;-1
35;technician;divorced;secondary;0;no;no;aug;124;4;-1
33;services;divorced;secondary;411;yes;no;may;216;1;-1
43;blue-collar;divorced;primary;-97;yes;yes;jul;747;4;-1
41;blue-collar;married;secondary;-217;yes;no;may;313;1;349
41;management;divorced;tertiary;5037;no;no;apr;252;9;185
46;admin.;divorced;secondary;2232;no;no;feb;121;1;-1
54;blue-collar;married;secondary;-932;yes;no;may;799;1;-1
32;management;married;tertiary;913;yes;no;jun;883;1;674
30;technician;single;tertiary;236;yes;no;may;197;1;-1
40;entrepreneur;married;primary;0;yes;no;jul;271;2;-1
30;blue-collar;married;primary;2581;no;no;may;221;2;-1
27;admin.;married;secondary;639;no;yes;jul;243;3;-1
41;blue-collar;married;primary;849;yes;no;may;72;1;-1
54;services;married;secondary;386;yes;no;aug;155;2;-1
32;management;single;tertiary;1218;yes;no;jan;70;2;-1
31;management;married;tertiary;2603;yes;no;feb;280;4;-1
42;blue-collar;married;secondary;-921;yes;no;may;115;2;-1
48;admin.;married;primary;607;no;no;jun;29;2;-1
34;blue-collar;married;primary;79;yes;no;may;406;2;-1
55;technician;divorced;secondary;61;yes;yes;aug;113;3;-1
49;technician;married;secondary;1091;no;no;jul;47;2;-1
46;management;divorced;tertiary;743;no;no;jun;36;2;-1
47;entrepreneur;married;unknown;209;yes;no;may;135;2;-1
24;management;single;tertiary;172;no;no;jul;67;2;-1
58;entrepreneur;married;secondary;2;no;no;jun;684;1;-1
32;management;single;tertiary;41;no;no;aug;686;5;-1
25;student;single;secondary;1116;yes;no;mar;170;3;-1
49;blue-collar;married;secondary;-55;no;no;jun;150;3;-1
59;retired;divorced;secondary;5845;no;no;may;1060;2;-1
30;management;single;tertiary;329;yes;no;jun;122;16;-1
46;blue-collar;married;secondary;494;yes;no;may;724;1;-1
42;management;married;unknown;1519;no;no;oct;230;1;92
37;entrepreneur;married;tertiary;2685;no;no;jun;187;2;-1
